PROJ_ID,PROJ_Name,PROJ_Desc,PAYRATE_ID,PROJ_Start,PROJ_End
1,Yankee India Charlie Quebec Papa Juliett X-ray Hotel Delta Lima Foxtrot Romeo Oscar Victor Zulu Echo Whiskey Mike,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",242.12,4/21/1961,9/3/1948
2,Charlie Whiskey Victor November Mike Tango Alfa X-ray Quebec Bravo Uniform Zulu Lima Hotel India,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",690.52,9/1/1945,8/5/1969
3,Quebec Hotel Foxtrot India Mike Tango Juliett Kilo Papa Yankee Zulu,"Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",761.49,2/10/1964,1/6/1990
4,Lima Foxtrot Romeo Papa Mike Oscar Quebec Bravo Juliett Tango Alfa Victor Delta Echo Zulu X-ray Hotel November Golf Uniform,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",190.64,5/10/1967,1/27/1952
5,Foxtrot Quebec Hotel Charlie Zulu Alfa Kilo Golf Uniform Mike Delta,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,506.27,6/6/1941,4/14/1971
6,Tango India Zulu Lima Papa Uniform Whiskey Quebec Bravo November,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",360.37,8/9/1965,11/25/1951
7,Kilo Foxtrot November Golf Romeo Whiskey Mike Quebec Hotel Oscar Yankee Delta Echo Bravo Tango Uniform X-ray Papa Alfa Sierra,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",714.31,8/22/1978,7/3/1987
8,Uniform Victor Zulu Echo Bravo X-ray Papa Kilo India Whiskey Hotel Golf Yankee,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,707.7,9/24/1967,3/14/1977
9,Hotel Charlie Bravo Victor Sierra Whiskey Alfa Kilo Echo Yankee Golf X-ray Papa Juliett,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",182.62,5/28/1956,11/4/1951
10,November Uniform Zulu Juliett X-ray Foxtrot Romeo Quebec Whiskey Oscar Yankee India Lima Victor Echo Bravo,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",498.18,3/25/1967,2/20/1943
11,Delta Lima Oscar Romeo X-ray Echo Bravo Mike November Foxtrot Charlie Golf Tango Sierra Juliett Alfa Hotel India,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",265.81,1/8/1944,5/28/1970
12,Oscar Golf X-ray Whiskey Mike Juliett Charlie Victor Zulu November Uniform Echo Papa India,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",179.81,10/8/1963,11/18/1942
13,Oscar X-ray Echo Charlie Lima Golf Kilo Zulu Sierra Yankee Alfa Mike Juliett India,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",836.0,3/15/1983,3/1/1940
14,Romeo Bravo Lima Sierra Yankee Uniform Whiskey Golf Tango Kilo Delta Mike,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",697.18,10/5/1987,11/7/1936
15,India Delta Foxtrot Echo Lima Uniform Victor Whiskey Mike Kilo Bravo Tango Juliett Golf X-ray Papa Yankee Oscar Charlie Romeo,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",360.6,9/9/1988,4/19/1941
16,Yankee Lima Romeo Oscar Tango Victor November Sierra Juliett Hotel Papa Whiskey Echo India Foxtrot Zulu Charlie Delta Mike Bravo,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,9.91,4/22/1941,1/25/1959
17,Foxtrot Bravo Uniform Whiskey Lima Delta Sierra Tango India Mike,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",682.84,6/1/1939,1/18/1966
18,Whiskey Oscar Victor Tango Alfa Yankee Bravo Juliett Delta Romeo Mike Lima,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",559.03,3/8/1943,3/10/1967
19,X-ray Sierra Charlie Lima Alfa Mike India Zulu Hotel Echo Delta November Foxtrot Juliett Victor Bravo Kilo Papa Quebec,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",19.3,12/23/1950,12/3/1991
20,Mike Romeo Uniform Yankee Tango Kilo November Whiskey X-ray Zulu Victor Lima Papa Charlie Golf,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",489.89,8/7/1982,8/10/1954
